UNITID,CONTROL,SAT_AVG,UGDS,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,UGDS_AIAN,UGDS_NHPI,UGDS_2MOR,UGDS_NRA,UGDS_UNKN,TUITIONFEE_IN,TUITIONFEE_OUT,TUITFTE,INEXPFTE,AVGFACSAL,PFTFAC,PCTPELL,C150_4,PFTFTUG1_EF,RET_FT4,RET_PT4,C200_4_POOLED,PCTFLOAN
199209,2,955,1822,0.2805,0.4166,0.0423,0.0088,0.0115,0.0005,0.0351,0.0664,0.1383,31650,31650,10674,5934,6006,0.2325,0.5174,0.4069,0.6061,0.671,0.25,0.2615,0.7115
199412,2,1159,1654,0.5544,0.1524,0.1233,0.0284,0.006,0.0006,0.0054,0.0901,0.0393,35720,35720,12507,9218,7477,0.4813,0.2843,0.5924,0.6405,0.752,0,0.5369,0.6937
199607,2,1028,585,0.5453,0.1726,0.1624,0.0171,0.0017,0,0.0564,0,0.0444,30016,30016,8846,11007,6070,0.5484,0.5469,0.5889,0.7013,0.76,0.5,0.5952,0.7102
200217,2,1169,2194,0.763,0.0228,0,0.0114,0.0164,0.0014,0.0196,0.0014,0.1641,19074,19074,16907,8309,7953,0.5685,0.1934,0.6009,0.7606,0.8027,1,0.5524,0.5481
200484,2,1040,162,0.8025,0.0617,0.0556,0.0062,0.0247,0,0.0309,0,0.0185,17006,17006,10603,8335,4053,0.9375,0.4734,0.5,0.6667,0.6364,0.5385,0.383,0.8723
201177,2,1085,295,0.8576,0.0441,0.0237,0.0068,0.0136,0,0.0305,0,0.0237,18950,18950,18726,10115,6522,0.2692,0.5073,1,0.2286,0.7,0.75,NULL,0.6735
201371,2,1042,667,0.7346,0.1124,0.033,0.0045,0.006,0,0.0345,0.0345,0.0405,33736,33736,11185,10321,5859,0.5377,0.39,0.544,0.9203,0.6034,1,0.5032,0.7243
201654,2,1244,3468,0.8829,0.0156,0.0115,0.0254,0.002,0,0.0303,0.0199,0.0124,31322,31322,17417,9112,7821,0.6604,0.2011,0.751,0.8866,0.8495,0,0.7248,0.4649
201821,2,1109,935,0.7861,0.1155,0.0225,0.0107,0.0032,0.0011,0.0214,0,0.0396,16021,16021,12388,6503,6850,0.9583,0.3958,0.5,0.3596,0.7714,0.7778,NULL,0.6408
202480,2,1241,8399,0.8064,0.0355,0.058,0.014,0.0001,0.0004,0.0308,0.0502,0.0045,44100,44100,19135,13025,9036,0.6391,0.1208,0.8155,0.9269,0.8944,1,0.7729,0.4787
203544,2,1135,595,0.7966,0.0555,0.0118,0.0269,0.0034,0.005,0.0218,0.0134,0.0655,13392,13392,14117,8132,7520,0.7021,0.2707,0.4483,0.3596,0.7442,0.75,0.4405,0.5728
203757,2,1042,1029,0.6842,0.1283,0.0972,0.0049,0.0019,0.0029,0.0408,0.0029,0.0369,24650,24650,10828,6175,5837,0.3562,0.4325,0.3558,0.6386,0.6632,0,0.3451,0.6593
203775,2,1122,1055,0.7839,0.0844,0.0237,0.0038,0.0009,0,0.036,0.0152,0.0521,31800,31800,12106,8263,6506,0.5057,0.3828,0.535,0.7888,0.6052,0.25,0.5163,0.7197
204176,2,1050,731,0.7688,0.1313,0.0123,0.0356,0.0041,0.0014,0.0383,0,0.0082,14372,14372,14908,7866,8047,0.3288,0.2577,0.7442,0.25,0.6078,0.5294,0.7303,0.5773
204194,2,1129,1696,0.8573,0.0313,0.0307,0.0024,0.0035,0.0012,0.0336,0.0065,0.0336,30404,30404,11454,7039,5574,0.9286,0.3509,0.6833,0.871,0.7871,1,0.6084,0.6181
204200,2,1097,1140,0.8018,0.1105,0.0289,0.0061,0.0018,0.0009,0.0377,0.0009,0.0114,31200,31200,16488,8849,6840,0.9817,0.3008,0.4487,0.7847,0.7247,0.5,0.571,0.5877
204617,2,1112,991,0.5348,0.2593,0.0484,0.0182,0.0101,0,0.0555,0.0252,0.0484,31680,31680,12317,6235,7057,0.9545,0.3956,0.4726,0.7983,0.6078,0,0.4259,0.6911
204635,2,1229,2111,0.7793,0.0322,0.0071,0.0166,0.0014,0.0019,0.0351,0.0104,0.1161,33440,33440,16793,12969,8627,0.7919,0.2573,0.7696,0.953,0.8546,1,0.7355,0.6256
204936,2,1167,2407,0.7715,0.0748,0.0453,0.027,0.0025,0,0.0482,0.0025,0.0283,32474,32474,15424,11039,7781,0.4927,0.2578,0.6567,0.8713,0.8247,0.6667,0.6159,0.7658
206491,2,880,537,0.0112,0.9795,0,0,0,0,0.0056,0,0.0037,13250,13250,11260,4900,5354,0.3704,0.8485,0.2029,0.7975,0.4678,0.0769,0.2385,0.8341
206622,2,1204,5009,0.7566,0.093,0.0565,0.0291,0.0012,0.0018,0.0369,0.0124,0.0124,40450,40450,18594,11187,9135,0.4845,0.1417,0.7327,0.9526,0.8282,1,0.7123,0.5573
206835,2,1057,864,0.6204,0.0845,0.0532,0.0012,0.0787,0.0035,0.0914,0.0602,0.0069,27996,27996,13380,6871,5224,0.1565,0.4314,0.3898,0.6046,0.5514,0.6667,0.4481,0.7267
207157,2,1070,309,0.4434,0.1068,0.2298,0.0065,0.0841,0.0065,0.0324,0.0485,0.0421,15920,15920,8384,3506,3753,0.4524,0.5966,0.5,0.5243,0.5974,1,0.2093,0.6102
207582,2,1105,3098,0.4429,0.1562,0.134,0.0232,0.031,0,0.0491,0.1085,0.0552,30070,30070,11456,7478,7359,0.4643,0.3942,0.555,0.6872,0.814,0.3158,0.5753,0.5693
207856,2,982,492,0.3862,0.2439,0.1098,0.0102,0.0508,0.0081,0.0346,0.1382,0.0183,16330,16330,11055,4916,4616,0.3803,0.4875,0.25,0.5433,0.447,0.5,0.2932,0.5536
207971,2,1276,3232,0.5449,0.0696,0.0857,0.0594,0.0288,0.0006,0.0777,0.12,0.0133,42723,42723,17140,17558,10210,0.7701,0.2031,0.7227,0.9087,0.8691,0.3333,0.7009,0.2907
208488,2,1070,1564,0.5965,0.0409,0.11,0.0799,0.0045,0.0134,0.085,0.0121,0.0575,32230,32230,14569,4349,6342,0.2897,0.3498,0.4364,0.3957,0.7008,0,0.4699,0.6309
208822,2,1151,2611,0.6913,0.013,0.1406,0.0379,0.0061,0.0061,0.082,0.0126,0.0103,37280,37280,18459,11184,7664,0.3618,0.2815,0.6828,0.7708,0.8482,0,0.6904,0.7193
209825,2,1250,3773,0.5333,0.0146,0.1341,0.1619,0.0029,0.0154,0.0906,0.0246,0.0225,47818,47818,23435,13409,9034,0.5415,0.1605,0.8141,0.9296,0.9013,1,0.8205,0.4364
210669,2,1272,1731,0.68,0.0843,0.089,0.0393,0.0029,0,0.0433,0.0347,0.0266,49260,49260,17110,14021,8130,0.8125,0.3427,0.7375,0.965,0.8635,0.25,0.7597,0.6601
210739,2,1154,2437,0.6992,0.055,0.1211,0.032,0.0012,0,0.03,0.0012,0.0603,38700,38700,16722,9266,7505,0.3884,0.2613,0.6899,0.7484,0.802,0.1176,0.6935,0.6407
211088,2,1154,1987,0.6341,0.0961,0.1042,0.0488,0.004,0.001,0.0458,0.0292,0.0367,44440,44440,17537,8331,7134,0.259,0.3449,0.6616,0.8686,0.7966,0.5,0.6409,0.6991
211352,2,1099,1506,0.5412,0.2072,0.1361,0.0352,0,0.0007,0.0292,0,0.0505,32845,32845,15681,8828,7207,0.3083,0.3991,0.5512,0.8525,0.7642,1,0.5949,0.6975
212054,2,1295,15287,0.5045,0.0652,0.0676,0.1962,0.0005,0.0011,0.0383,0.1043,0.0221,54516,54516,24826,16671,11369,0.5659,0.2463,0.6935,0.8157,0.8852,0.5833,0.7173,0.5125
212106,2,1221,5837,0.8088,0.0538,0.0408,0.0341,0.0003,0.0007,0.0338,0.0238,0.0039,39992,39992,23805,12481,9367,0.5171,0.1923,0.8078,0.8249,0.8547,0.8,0.7851,0.6202
212133,2,1137,1736,0.4775,0.2062,0.1786,0.0202,0.0012,0.0006,0.023,0.0202,0.0726,33854,33854,11983,7526,6250,0.2937,0.4414,0.5912,0.5917,0.7781,0.375,0.6569,0.7024
212197,2,1188,1688,0.8608,0.0361,0.0403,0.029,0.0006,0.0006,0.0154,0.0118,0.0053,32000,32000,19408,16031,8942,0.6505,0.2064,0.6943,0.8706,0.8731,0.7826,0.7465,0.7134
212601,2,1135,2866,0.6989,0.0548,0.0422,0.0157,0.0014,0.0007,0.0345,0.0918,0.06,33226,33226,17092,8903,8096,0.6373,0.2701,0.677,0.8539,0.8217,0.5,0.6651,0.5524
212984,2,1022,1951,0.6556,0.1579,0.0144,0.0728,0.0026,0.0062,0.0005,0,0.0902,31040,31040,16090,8546,7307,0.2089,0.3725,0.5825,0.5772,0.7309,0,0.604,0.698
213303,2,974,1192,0.6703,0.1317,0.0805,0.0076,0.005,0.0008,0.0302,0.0008,0.073,26720,26720,11139,6873,5721,0.2568,0.5522,0.4695,0.8673,0.5833,0.1667,0.4559,0.8358
213400,2,1081,1574,0.4994,0.169,0.0445,0.0121,0.0006,0,0.1696,0,0.1048,26170,26170,13302,7555,5905,0.4035,0.388,0.6194,0.3852,0.7485,1,0.6008,0.622
213774,2,861,628,0.3599,0.3631,0.1656,0.0382,0.0048,0,0.0446,0.0016,0.0223,18022,18022,16906,5964,4621,0.481,0.6235,0.3228,0.6342,0.4839,0.3333,NULL,0.749
213826,2,1098,1732,0.7431,0.0248,0.0774,0.0242,0.0017,0.0006,0.0185,0.0115,0.0982,35904,35904,17736,9992,7557,0.4343,0.3206,0.6766,0.8036,0.8608,0.3333,0.6817,0.7042
215062,2,1511,10774,0.3998,0.0799,0.1004,0.2156,0.0011,0.0005,0.0508,0.1275,0.0244,57770,57770,42393,56874,18277,0.7779,0.1276,0.96,0.936,0.9808,0.9245,0.965,0.1268
215132,2,1218,1358,0.4455,0.0626,0.0376,0.3498,0.0007,0.0022,0.042,0.0103,0.0493,25000,25000,25857,16856,8456,0.9894,0.2851,0.7773,0.8875,0.8536,0.5,0.7137,0.6726
